Format,Traqmate Trackvision,V2
Track,Portland International Raceway
Vehicle,CORRADO
Driver,DJ
Starting Date,2019/08/18
Starting Time,16:53:001
Sample Rate (samps/sec),10
Duration (secs),1952
Elapsed Time,Lat (Degrees),Lon (Degrees),Altitude (meters),Velocity (MPH),Lap
8.425,45.59543,-122.695414,6.0,30.150564,1
8.45,45.595431,-122.695418,6.0,30.1997,1
8.475,45.595431,-122.695423,6.0,30.260628,1
8.5,45.595431,-122.695428,6.0,30.609959,1
8.525,45.595432,-122.695432,6.0,30.691524,1
8.55,45.595432,-122.695437,6.0,30.765228,1
8.575,45.595433,-122.695441,6.0,30.830086000000005,1
8.6,45.595433,-122.695445,6.0,30.895928,1
8.625,45.595433,-122.69545,6.0,30.952925,1
8.65,45.595434,-122.695454,6.0,31.01975,1
8.675,45.595434,-122.695459,6.0,31.082643,1
8.7,45.595435,-122.695463,6.0,31.15045,1
8.725,45.595435,-122.695467,6.0,31.242825,1
8.75,45.595436,-122.695472,6.0,31.335199,1
8.775,45.595436,-122.695477,6.0,31.406937,1
8.8,45.595436,-122.695481,6.0,31.472779,1
8.825,45.595437,-122.695486,6.0,31.533707,1
8.85,45.595437,-122.69549,6.0,31.608393,1
8.875,45.595438,-122.695495,6.0,31.675217,1
8.9,45.595438,-122.695499,6.0,31.749903,1
8.925,45.595439,-122.695504,6.0,31.825572,1
8.95,45.595439,-122.695508,6.0,31.900258,1
8.975,45.59544,-122.695513,6.0,31.966099,1
9.0,45.595441,-122.695518,6.0,32.243092,1
9.025,45.595441,-122.695522,6.0,32.315813,1
9.05,45.595442,-122.695527,6.0,32.392464,1
9.075,45.595442,-122.695532,6.0,32.469116,1
9.1,45.595443,-122.695536,6.0,32.537905,1
9.125,45.595444,-122.695541,6.0,32.607678,1
9.15,45.595444,-122.695545,6.0,32.67745,1
9.175,45.595445,-122.69555,6.0,32.728551,1
9.2,45.595446,-122.695555,6.0,32.790462,1
9.225,45.595446,-122.695559,6.0,32.875958,1
9.25,45.595447,-122.695565,6.0,32.961453,1
9.275,45.595447,-122.695569,6.0,33.06169,1
9.3,45.595448,-122.695574,6.0,33.143255,1
9.325,45.595449,-122.695579,6.0,33.220889,1
9.35,45.59545,-122.695583,6.0,33.256266,1
9.375,45.59545,-122.695588,6.0,33.335866,1
9.4,45.595451,-122.695593,6.0,33.406621,1
9.425,45.595452,-122.695597,6.0,33.462636,1
9.45,45.595452,-122.695602,6.0,33.526512,1
9.475,45.595453,-122.695607,6.0,33.607094,1
9.5,45.595454,-122.695613,6.0,34.183809,1
9.525,45.595455,-122.695617,6.0,34.254564,1
9.55,45.595455,-122.695622,6.0,34.308613,1
9.575,45.595456,-122.695627,6.0,34.353818,1
9.6,45.595457,-122.695632,6.0,34.443245,1
9.625,45.595457,-122.695637,6.0,34.530706,1
9.65,45.595458,-122.695642,6.0,34.606375,1
9.675,45.595459,-122.695646,6.0,34.685974,1
9.7,45.595459,-122.695651,6.0,34.788176,1
9.725,45.59546,-122.695656,6.0,34.889395,1
9.75,45.595461,-122.695662,6.0,34.990614,1
9.775,45.595462,-122.695666,6.0,35.058421,1
9.8,45.595462,-122.695671,6.0,35.125246,1
9.825,45.595463,-122.695676,6.0,35.224499,1
9.85,45.595464,-122.695681,6.0,35.330632,1
9.875,45.595465,-122.695686,6.0,35.416128,1
9.9,45.595466,-122.695691,6.0,35.489831,1
9.925,45.595466,-122.695696,6.0,35.549776,1
9.95,45.595467,-122.695701,6.0,35.606774,1
9.975,45.595468,-122.695706,6.0,35.671632,1
10.0,45.595469,-122.695712,6.0,36.261345000000006,1
10.025,45.59547,-122.695717,6.0,36.380252,1
10.05,45.595471,-122.695723,6.0,36.554192,1
10.075,45.595471,-122.695728,6.0,36.72027,1
10.1,45.595472,-122.695733,6.0,36.843109,1
10.125,45.595473,-122.695738,6.0,36.931552999999994,1
10.15,45.595474,-122.695743,6.0,37.03866800000001,1
10.175,45.595475,-122.695748,6.0,37.137922,1
10.2,45.595476,-122.695753,6.0,37.29712099999999,1
10.225,45.595476,-122.695759,6.0,37.50349,1
10.25,45.595477,-122.695764,6.0,37.709859,1
10.275,45.595478,-122.69577,6.0,37.91328,1
10.3,45.595479,-122.695775,6.0,38.079358,1
10.325,45.59548,-122.69578,6.0,38.201214,1
10.35,45.595481,-122.695786,6.0,38.331915,1
10.375,45.595482,-122.695791,6.0,38.509785,1
10.4,45.595483,-122.695796,6.0,38.683725,1
10.425,45.595484,-122.695802,6.0,38.857665,1
10.45,45.595484,-122.695807,6.0,39.012933,1
10.475,45.595485,-122.695813,6.0,39.167219,1
10.5,45.595486,-122.695819,6.0,39.028209,1
10.525,45.595487,-122.695824,6.0,39.154979,1
10.55,45.595488,-122.69583,6.0,39.305334,1
10.575,45.595489,-122.695835,6.0,39.490083,1
10.6,45.59549,-122.695841,6.0,39.668936,1
10.625,45.595491,-122.695846,6.0,39.834032,1
10.65,45.595492,-122.695852,6.0,39.971611,1
10.675,45.595493,-122.695857,6.0,40.110173,1
10.7,45.595494,-122.695863,6.0,40.23596,1
10.725,45.595495,-122.695869,6.0,40.309663,1
10.75,45.595496,-122.695875,6.0,40.38336700000001,1
10.775,45.595497,-122.695881,6.0,40.534704,1
10.8,45.595498,-122.695887,6.0,40.732229,1
10.825,45.595499,-122.695892,6.0,40.934667,1
10.85,45.5955,-122.695898,6.0,41.103693,1
10.875,45.595501,-122.695904,6.0,41.250117,1
10.9,45.595502,-122.695909,6.0,41.368042,1
10.925,45.595503,-122.695915,6.0,41.466313,1
10.95,45.595504,-122.695921,6.0,41.579325000000004,1
10.975,45.595505,-122.695927,6.0,41.722801,1
11.0,45.595507,-122.695935,6.0,42.626816,1
11.025,45.595508,-122.69594,6.0,42.772257,1
11.05,45.595509,-122.695946,6.0,42.96192099999999,1
11.075,45.59551,-122.695952,6.0,43.094586,1
11.1,45.595511,-122.695958,6.0,43.212512,1
11.125,45.595512,-122.695964,6.0,43.326506,1
11.15,45.595513,-122.69597,6.0,43.476861,1
11.175,45.595515,-122.695976,6.0,43.634094,1
11.2,45.595516,-122.695982,6.0,43.780518,1
11.225,45.595517,-122.695988,6.0,43.953475,1
11.25,45.595518,-122.695996,6.0,44.12643200000001,1
11.275,45.595519,-122.696002,6.0,44.23846100000001,1
11.3,45.595521,-122.696008,6.0,44.333784,1
11.325,45.595522,-122.696014,6.0,44.452692,1
11.35,45.595523,-122.69602,6.0,44.57159999999999,1
